der;izq
146,567;74,4195
146,528;74,4264
146,484;74,4339
146,438;74,4419
146,389;74,4503
146,338;74,4591
146,286;74,4682
146,234;74,4775
146,182;74,4869
146,132;74,4964
146,085;74,5058
146,041;74,5152
146;74,5243
145,964;74,5331
145,933;74,5415
145,907;74,5494
145,885;74,5566
145,869;74,563
145,858;74,5685
145,851;74,5728
145,848;74,5759
145,849;74,5776
145,853;74,5779
145,86;74,5765
145,869;74,5734
145,88;74,5686
145,893;74,562
145,906;74,5535
145,919;74,5433
145,933;74,5312
145,947;74,5172
145,961;74,5015
145,974;74,4841
145,987;74,465
145,999;74,4444
146,01;74,4222
146,02;74,3987
146,028;74,3739
146,034;74,3478
146,039;74,3205
146,041;74,2921
146,041;74,2625
146,038;74,2317
146,033;74,1997
146,025;74,1663
146,016;74,1316
146,005;74,0953
145,994;74,0575
145,985;74,0182
145,977;73,9772
145,974;73,9347
145,977;73,891
145,986;73,8462
146,004;73,8007
146,032;73,755
146,069;73,7096
146,117;73,665
146,175;73,6221
146,244;73,5815
146,322;73,5439
146,409;73,5101
146,505;73,4807
146,607;73,4562
146,715;73,4371
146,828;73,4237
146,944;73,4163
147,062;73,4149
147,182;73,4194
147,301;73,4297
147,419;73,4455
147,534;73,4664
147,645;73,4919
147,752;73,5215
147,852;73,5544
147,946;73,5901
148,032;73,6278
148,11;73,6668
148,179;73,7064
148,239;73,7458
148,289;73,7843
148,329;73,8211
148,359;73,8556
148,379;73,8871
148,389;73,9151
148,39;73,9393
148,382;73,9594
148,366;73,9754
148,341;73,9871
148,309;73,9948
148,27;73,9988
148,225;73,9994
148,175;73,9969
148,119;73,9918
148,059;73,9846
147,995;73,9754
147,928;73,9647
147,859;73,9528
147,789;73,9398
147,718;73,9259
147,648;73,9113
147,579;73,8961
147,512;73,8805
147,448;73,8645
147,386;73,8482
147,329;73,8317
147,275;73,8151
147,226;73,7986
147,182;73,7822
147,142;73,7661
147,107;73,7506
147,077;73,7358
147,052;73,722
147,033;73,7094
147,018;73,6982
147,009;73,6886
147,004;73,6807
147,004;73,6744
147,008;73,6698
147,017;73,6667
147,029;73,6648
147,044;73,6638
147,062;73,6633
147,083;73,6628
147,106;73,6619
147,131;73,66
147,157;73,6567
147,184;73,6514
147,21;73,6439
147,236;73,6339
147,261;73,621
147,283;73,6051
147,302;73,5863
147,317;73,5644
147,329;73,5397
147,335;73,5121
147,336;73,482
147,333;73,4495
147,325;73,4151
147,313;73,379
147,298;73,3416
147,28;73,3034
147,26;73,2647
