der,izq
"83,5353",141.50667872853916
"84,0916",141.5725120290079
"84,6594",141.625448856251
"85,238",141.66658953060374
"85,827",141.69489011768758
"86,426",141.70962310820488
"87,0346",141.70996119536576
"87,6529",141.69472989036788
"88,2808",141.66204789322387
"88,9184",140.37279797900027
"89,5659",140.29080065690906
"90,2235",140.19006399365477
"90,8914",140.06901471045802
"91,5698",139.92647267751053
"92,2587",139.76144274335658
"92,9582",139.5729280683866
"93,6679",139.36051894905137
"94,3874",139.12399820223965
"95,1161",138.8633393919098
"95,8529",138.57891621040716
"96,5965",138.2710982464175
"97,3455",137.94055289907845
"98,0981",137.58795336682132
"98,8527",137.21427240930961
"99,6076",136.8202841461704
"100,361",136.40687106656316
"101,113",135.9747206209582
"101,861",135.5246223254293
"102,605",135.05727314215875
"103,347",134.5730730786605
"104,085",134.07242722137576
"104,82",133.55554288937162
"105,554",133.0227315963908
"106,288",132.4741038540285
"107,023",131.90967314254158
"107,76",131.32974687521641
"108,501",130.73423834217343
"109,247",130.12325742864752
110,129.49710715509005
"110,76",128.85589258201227
"111,528",128.19981451075085
"112,304",127.52937228491564
"113,09",126.84476487308537
"113,884",126.14668441604199
"114,686",125.43572874027497
"115,497",124.71268683237531
"116,314",123.97854859688984
"117,139",123.23450482029138
"117,968",122.48184155309553
"118,803",121.72224193251348
"119,641",120.95719551684455
"120,481",120.1884834338806
"121,324",119.41779555334284
"122,168",118.6468197394219
"123,012",117.87685094831582
"123,855",117.10898945221577
"124,698",116.34394305514864
"125,538",115.58242157424806
"126,377",114.82435003059088
"127,212",114.06994786688128
"128,044",113.31746062793465
"128,871",112.56790497015797
"129,693",111.82031813877958
"130,509",111.07373176816927
"131,318",110.32618527065509
"132,12",109.57670236161114
"132,912",108.82628668589747
"133,695",108.07196927435541
"134,467",107.31375654863909
"135,227",106.5506319101737
"135,974",105.78261468280655
"136,707",105.00771158768066
"137,425",104.22788871263825
"138,128",103.44113526143114
"138,816",102.64842657030152
"139,487",101.84978036117813
"140,142",101.04514827429114
"140,781",100.23651024831881
"141,404",99.4218697643282
"142,013",98.60419619713997
"142,606",97.78345518669529
"143,187",96.9596782316963
"143,754",96.13382087507163
"144,308",95.30589778983699
"144,851",94.47887660388085
"145,383",93.6507750459487
"145,902",92.82261427706865
"146,409",91.99633907171426
"146,902",91.17100656287184
"147,378",90.3466152835393
